code,creator,created_datetime,product_name,countries,energy_100g,fat_100g
18524,usda-ndb-import,2017-03-09T10:35:20Z,"Organic Unsweetened Granola, Cinnamon Almond",US,1887,21.57
18555,usda-ndb-import,2017-03-09T10:35:09Z,Organic Blueberry Almond Granola,US,1674,9.09
18562,usda-ndb-import,2017-03-09T09:07:42Z,"Sweeteners, Demerara Turbinado Sugar",US,1569,
18579,usda-ndb-import,2017-03-09T10:34:12Z,Aunt Maple's Crunchy Granola,US,2092,28.57
18630,usda-ndb-import,2017-03-09T10:35:22Z,Organic Coconut Chips,US,2761,65
18708,usda-ndb-import,2017-03-09T10:34:27Z,Organic Black Beans,US,1393,
18753,usda-ndb-import,2017-03-09T10:35:28Z,Organic Whole Grain Emmer Farro,US,1515,2.13
18760,usda-ndb-import,2017-03-09T10:35:08Z,Organic Hard Red Wheat Berries,US,1335,2.13
18869,usda-ndb-import,2017-03-09T10:34:12Z,Aunt Ginger's Snappy Granola,US,1941,17.86
18883,usda-ndb-import,2017-03-09T10:35:20Z,Dark Chocolate Sea Salt & Turbinado Almonds,US,2197,35
18937,usda-ndb-import,2017-03-09T10:34:38Z,Divinely Organic Granola,US,1749,14.55
18944,usda-ndb-import,2017-03-09T10:34:11Z,Organic Black Chia Seeds,US,2046,32.14
20114,chris13,2017-08-11T09:33:29Z,Naturablue original,en:FR,,
24600,date-limite-app,2015-06-17T08:45:04Z,Filet de bœuf,France,,
27083,canieatthis-app,2016-08-26T15:03:02Z,Marks % Spencer 2 Blueberry Muffins,en:GB,1513,
27205,tacinte,2016-03-17T18:17:10Z,,en:FR,,
30038,usda-ndb-import,2017-03-09T10:34:09Z,Organic French Green Lentils,US,1490,
30113,chris13,2017-08-11T09:37:46Z,Naturakrill original,en:FR,,
30540,usda-ndb-import,2017-03-09T10:34:09Z,Organic Garbanzo Beans,US,1335,5.32
30557,usda-ndb-import,2017-03-09T10:34:09Z,Organic Green Split Peas,US,1582,1.11
30564,usda-ndb-import,2017-03-09T10:35:30Z,Organic Small Red Chili Beans,US,699,
30571,usda-ndb-import,2017-03-09T10:35:11Z,Organic Small White Beans,US,1674,
30595,usda-ndb-import,2017-03-09T10:34:12Z,Organic Grey-Green Lentils,US,1582,1.11
30625,usda-ndb-import,2017-03-09T10:34:09Z,Organic Yellow Split Peas,US,1582,1.11
30649,usda-ndb-import,2017-03-09T10:35:34Z,Organic Mung Beans,US,1477,0.98
30717,usda-ndb-import,2017-03-09T10:34:38Z,Organic Baby Lima Beans,US,1393,
30724,usda-ndb-import,2017-03-09T10:34:38Z,Organic Dark Red Kidney Bean,US,1272,
31097,usda-ndb-import,2017-03-09T10:35:01Z,Coconut Almond Granola,US,2054,25.45
31141,usda-ndb-import,2017-03-09T10:35:30Z,Super Nutty Granola,US,1904,18.18
